,x_ratios,y_ratios,x,y,vx,vy,ax,ay
0,0.4457353745215965,0.5521978021978022,990.1543287150032,540.0,753.6101921423484,0.0,-18.60070596234315,0.0
1,0.4217213114754098,0.7032967032967032,1020.2788987481408,540.0,752.4944251479632,0.0,-37.18305527359191,0.0
2,0.46415770609318996,0.7386363636363636,1050.3439807857737,540.0,750.6360370057098,0.0,-55.728709398450306,0.0
3,0.43918561607615014,0.8012820512820513,1080.319904221732,540.0,748.0368617203188,0.0,-74.21936601534107,0.0
4,0.43442622950819676,0.7307692307692308,1110.1770864386217,540.0,744.6994643639947,0.0,-92.63677707858731,0.0
5,0.4193548387096774,0.7692307692307693,1139.8860620022956,540.0,740.6271385449992,0.0,-110.96276682703062,0.0
6,0.43059227921734533,0.8076923076923077,1169.4175117406808,540.0,735.8239031572579,0.0,-129.17924972131289,0.0
7,0.4877118644067796,0.8181818181818182,1198.7422916782607,540.0,730.2944984141966,0.0,-147.26824829212,0.0
8,0.47619047619047616,0.8333333333333334,1227.83146179766,540.0,724.044381170724,0.0,-165.2119108817739,0.0
9,0.49550502379693284,0.9090909090909091,1256.6563145999494,540.0,717.0797195379733,0.0,-182.99252926166318,0.0
10,0.5703125,0.7916666666666667,1285.1884034354798,540.0,709.4073867961224,0.0,-200.592556108127,0.0
11,0.5513392857142857,0.7916666666666667,1313.399570577291,540.0,701.0349546112955,0.0,-217.9946223195449,0.0
12,0.5691433104177683,0.75,1341.2619750093895,540.0,691.9706855632429,0.0,-235.18155415754313,0.0
13,0.5806451612903225,0.95,1368.7481199024699,540.0,682.2235249911727,0.0,-252.13639019540102,0.0
14,0.5772078265468006,0.8636363636363636,1395.8308797499649,540.0,671.8030921657806,0.0,-268.84239805693124,0.0
15,0.5793650793650794,0.7596153846153846,1422.4835271376467,540.0,660.7196707961912,0.0,-285.28309092931545,0.0
16,0.5837602459016393,0.8257575757575758,1448.6797591203565,540.0,648.9841988811784,0.0,-301.44224383359733,0.0
17,0.580536039552433,0.8181818181818182,1474.3937231798368,540.0,636.6082579146818,0.0,-317.3039096367786,0.0
18,0.583973374295955,0.7628205128205128,1499.6000427380454,540.0,623.6040614562697,0.0,-332.85243478971364,0.0
19,0.6062748015873016,0.7692307692307693,1524.2738422007742,540.0,609.9844430778311,0.0,-348.07247477527267,0.0
20,0.5999743983614951,0.8181818181818182,1548.3907715068572,540.0,595.762843698389,0.0,-362.9490092515276,0.0
21,0.6046057767369243,0.8712121212121212,1571.9270301587421,540.0,580.9532983195363,0.0,-377.46735687501626,0.0
22,0.5983606557377049,0.8666666666666667,1594.8593907107056,540.0,565.570422174584,0.0,-391.6131897894556,0.0
23,0.6190476190476191,0.8333333333333334,1617.165221691541,540.0,549.6293963050899,0.0,-405.3725477656061,0.0
24,0.6140873015873016,0.8257575757575758,1638.8225099390856,540.0,533.145952579004,0.0,-418.7318519783327,0.0
25,0.6278846153846154,0.875,1659.809882324555,540.0,516.1363581652132,0.0,-431.6779184072659,0.0
26,0.6309185606060606,0.8712121212121212,1680.1066268452412,540.0,498.6173994798113,0.0,-444.1979708478378,0.0
27,0.6309185606060606,0.875,1699.6927130647578,540.0,480.6063656199309,0.0,-456.27965351985375,0.0
28,0.6240399385560675,0.6904761904761905,1718.5488118806627,540.0,462.12103130149353,0.0,-467.9110432611557,0.0
29,0.6299603174603174,0.8397435897435898,1736.6563145999496,540.0,443.1796393177096,0.0,-479.08066129434394,0.0
30,0.6405372405372405,0.823076923076923,1753.9973513035793,540.0,423.80088253564537,0.0,-489.7774845549437,0.0
31,0.6365097588978186,0.8076923076923077,1770.5548084819345,540.0,404.00388544861914,0.0,-499.99095656984014,0.0
32,0.6221478174603174,0.8461538461538461,1786.3123459237859,540.0,383.80818530263525,0.0,-509.71099787524184,0.0
33,0.6251526251526252,0.8397435897435898,1801.254412842109,540.0,363.2337128154815,0.0,-518.9280159638953,0.0
34,0.6538461538461539,0.8461538461538461,1815.366263220833,540.0,342.30077250751657,0.0,-527.6329147517307,0.0
35,0.6439393939393939,0.8461538461538461,1828.6339703673789,540.0,321.0300226635597,0.0,-535.8171035546003,0.0
36,0.640625,0.7774725274725275,1841.0444406566219,540.0,299.4424549456582,0.0,-543.4725055662442,0.0
37,0.6407814407814407,0.7595238095238095,1852.5854264527213,540.0,277.5593736768512,0.0,-550.591565829125,0.0
38,0.6356971153846154,0.75,1863.2455381960565,540.0,255.4023748163743,0.0,-557.1672586902578,0.0
39,0.6641025641025641,0.8814102564102564,1873.0142556433475,540.0,232.99332464705597,0.0,-563.1930947346816,0.0
40,0.6489510489510489,0.8461538461538461,1881.8819382498655,540.0,210.35433819593607,0.0,-568.6631271897287,0.0
41,0.6615384615384615,0.775,1889.8398346834858,540.0,187.5077574094039,0.0,-573.5719577937708,0.0
42,0.6484375,0.8095238095238095,1896.8800914611975,540.0,164.4761291043944,0.0,-577.9147421236521,0.0
43,0.6590909090909091,0.8,1902.995760699541,540.0,141.28218271740258,0.0,-581.6871943755498,0.0
44,0.6564102564102564,0.823076923076923,1908.1808069713322,540.0,117.9488078732733,0.0,-584.885591594545,0.0
45,0.6640625,0.7857142857142857,1912.430113261899,540.0,94.49903179590525,0.0,-587.5067773487294,0.0
46,0.6641025641025641,0.7104166666666667,1915.7394860189568,540.0,70.95599658316102,0.0,-589.5481648442235,0.0
47,0.6717948717948719,0.7928571428571429,1918.1056592911407,540.0,47.34293636841067,0.0,-591.007739478029,0.0
48,0.6588942307692307,0.8159340659340659,1919.5262979511024,540.0,23.683154391246497,0.0,-591.8840608261986,0.0
